ts,conn_country,master_metadata_track_name,master_metadata_album_album_name,reason_start,reason_end,shuffle,skipped,offline,incognito_mode,artist_name,segment,in_library,temperature,precipitation,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,popularity
2017-11-21T11:50:16Z,BR,Waiting for Superman,Baptized (Deluxe Version),clickrow,endplay,False,False,False,False,,,True,20.75,0.0,0.0029,0.555,0.682,0.0,0.0,0.0662,-5.711,1.0,0.0269,105.987,0.383,56.0
2017-11-21T11:50:25Z,BR,Liga da Justiça,Liga da Justiça,clickrow,endplay,False,False,False,False,,,False,20.75,0.0,0.606,0.714,0.813,0.0,7.0,0.378,-4.806,1.0,0.133,129.55,0.881,0.0
2017-11-21T11:51:31Z,BR,Liga Da Justiça (Mulher Maravilha),Liga Da Justiça (Mulher Maravilha),clickrow,endplay,False,False,False,False,,,False,20.75,0.0,0.642,0.647,0.676,0.0,2.0,0.5,-10.209,1.0,0.0955,129.424,0.911,45.0
2017-11-21T11:53:57Z,BR,Liga Da Justiça (Mulher Maravilha),Liga Da Justiça (Mulher Maravilha),clickrow,endplay,False,False,False,False,,,False,20.75,0.0,0.642,0.647,0.676,0.0,2.0,0.5,-10.209,1.0,0.0955,129.424,0.911,45.0
2017-11-21T11:54:32Z,BR,Faded,Faded,clickrow,endplay,False,False,False,False,Alan Walker,Previously Active Listeners,True,20.75,0.0,0.0291,0.589,0.651,3.2e-06,6.0,0.111,-5.097,1.0,0.0306,90.011,0.166,69.0
2017-11-21T11:55:11Z,BR,Faded - Instrumental,Faded,clickrow,endplay,False,False,False,False,Alan Walker,Previously Active Listeners,False,20.75,0.0,0.00073,0.75,0.617,0.318,6.0,0.105,-6.725,1.0,0.0318,89.968,0.108,45.0
2017-11-21T11:55:14Z,BR,Faded,Faded,clickrow,endplay,False,False,False,False,Alan Walker,Previously Active Listeners,True,20.75,0.0,0.0291,0.589,0.651,3.2e-06,6.0,0.111,-5.097,1.0,0.0306,90.011,0.166,69.0
2017-11-21T11:58:34Z,BR,Faded,Faded,clickrow,trackdone,False,False,False,False,Alan Walker,Previously Active Listeners,True,20.75,0.0,0.0291,0.589,0.651,3.2e-06,6.0,0.111,-5.097,1.0,0.0306,90.011,0.166,69.0
2017-11-21T11:58:45Z,BR,Faded - Instrumental,Faded,trackdone,endplay,False,False,False,False,Alan Walker,Previously Active Listeners,False,20.75,0.0,0.00073,0.75,0.617,0.318,6.0,0.105,-6.725,1.0,0.0318,89.968,0.108,45.0
2017-11-21T11:59:42Z,BR,Something Just Like This,Something Just Like This,clickrow,endplay,False,False,False,False,,,True,20.75,0.0,0.0306,0.607,0.649,2.46e-05,11.0,0.174,-6.695,0.0,0.0362,102.996,0.505,69.0
