ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode,artist_name,segment,track_id
2020-10-20T19:36:53Z,"Android OS 10 API 29 (samsung, SM-A307GT)",23600,BR,177.58.181.120,Pretty Savage,THE ALBUM,spotify:track:1XnpzbOGptRwfJhZgLbmSr,,,,,,,,clickrow,backbtn,False,False,False,,False,BLACKPINK,Previously Active Listeners,1XnpzbOGptRwfJhZgLbmSr
2020-10-20T19:36:55Z,"Android OS 10 API 29 (samsung, SM-A307GT)",1052,BR,177.58.181.120,How You Like That,THE ALBUM,spotify:track:4SFknyjLcyTLJFPKD2m96o,,,,,,,,backbtn,backbtn,False,False,False,,False,BLACKPINK,Previously Active Listeners,4SFknyjLcyTLJFPKD2m96o
2020-10-20T19:36:56Z,"Android OS 10 API 29 (samsung, SM-A307GT)",0,BR,177.58.181.120,Ice Cream (with Selena Gomez),THE ALBUM,spotify:track:4JUPEh2DVSXFGExu4Uxevz,,,,,,,,backbtn,backbtn,False,False,False,,False,BLACKPINK,Previously Active Listeners,4JUPEh2DVSXFGExu4Uxevz
2020-10-20T19:36:56Z,"Android OS 10 API 29 (samsung, SM-A307GT)",0,BR,177.58.181.120,Bet You Wanna (feat. Cardi B),THE ALBUM,spotify:track:7iAgNZdotu40NwtoIWJHFe,,,,,,,,backbtn,backbtn,False,False,False,,False,BLACKPINK,Previously Active Listeners,7iAgNZdotu40NwtoIWJHFe
2020-10-20T19:36:59Z,"Android OS 10 API 29 (samsung, SM-A307GT)",1824,BR,177.58.181.120,Lovesick Girls,THE ALBUM,spotify:track:4Ws314Ylb27BVsvlZOy30C,,,,,,,,backbtn,fwdbtn,False,False,False,,False,BLACKPINK,Previously Active Listeners,4Ws314Ylb27BVsvlZOy30C
2020-10-20T19:37:01Z,"Android OS 10 API 29 (samsung, SM-A307GT)",564,BR,177.58.181.120,Ice Cream (with Selena Gomez),THE ALBUM,spotify:track:4JUPEh2DVSXFGExu4Uxevz,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False,BLACKPINK,Previously Active Listeners,4JUPEh2DVSXFGExu4Uxevz
2020-10-20T19:37:02Z,"Android OS 10 API 29 (samsung, SM-A307GT)",610,BR,177.58.181.120,Bet You Wanna (feat. Cardi B),THE ALBUM,spotify:track:7iAgNZdotu40NwtoIWJHFe,,,,,,,,fwdbtn,backbtn,False,False,False,,False,BLACKPINK,Previously Active Listeners,7iAgNZdotu40NwtoIWJHFe
2020-10-20T19:37:03Z,"Android OS 10 API 29 (samsung, SM-A307GT)",600,BR,177.58.181.120,Ice Cream (with Selena Gomez),THE ALBUM,spotify:track:4JUPEh2DVSXFGExu4Uxevz,,,,,,,,backbtn,backbtn,False,False,False,,False,BLACKPINK,Previously Active Listeners,4JUPEh2DVSXFGExu4Uxevz
2020-10-22T01:00:12Z,"Android OS 10 API 29 (samsung, SM-A307GT)",4500,BR,179.93.244.141,Lovesick Girls,THE ALBUM,spotify:track:4Ws314Ylb27BVsvlZOy30C,,,,,,,,backbtn,logout,False,False,False,,False,BLACKPINK,Previously Active Listeners,4Ws314Ylb27BVsvlZOy30C
2020-10-23T19:52:08Z,"Android OS 10 API 29 (samsung, SM-A307GT)",1064,BR,187.26.175.43,I'm Gonna Show You Crazy,I'm Gonna Show You Crazy,spotify:track:5LtNBCM2ve0SxP0dlRVvMu,,,,,,,,clickrow,endplay,False,False,False,,False,Bebe Rexha,Previously Active Listeners,5LtNBCM2ve0SxP0dlRVvMu
2020-10-23T19:55:36Z,"Android OS 10 API 29 (samsung, SM-A307GT)",207773,BR,187.26.175.43,I'm Gonna Show You Crazy,I'm Gonna Show You Crazy,spotify:track:5LtNBCM2ve0SxP0dlRVvMu,,,,,,,,clickrow,trackdone,False,False,False,,False,Bebe Rexha,Previously Active Listeners,5LtNBCM2ve0SxP0dlRVvMu
2020-10-23T19:55:54Z,"Android OS 10 API 29 (samsung, SM-A307GT)",15657,BR,187.26.175.43,I'm a Mess,Expectations,spotify:track:04ZTP5KsCypmtCmQg5tH9R,,,,,,,,playbtn,endplay,False,False,False,,False,Bebe Rexha,Previously Active Listeners,04ZTP5KsCypmtCmQg5tH9R
2020-10-23T19:55:57Z,"Android OS 10 API 29 (samsung, SM-A307GT)",1811,BR,187.26.175.43,Control,Control,spotify:track:4SF6S1UUsTes8qQfpnnOWB,,,,,,,,clickrow,endplay,False,False,False,,False,,,4SF6S1UUsTes8qQfpnnOWB
2020-10-23T19:59:49Z,"Android OS 10 API 29 (samsung, SM-A307GT)",159620,BR,187.26.175.43,Control,BADLANDS,spotify:track:3SKzTIl9mW0DadTys9SFo3,,,,,,,,clickrow,endplay,False,False,False,,False,Halsey,Previously Active Listeners,3SKzTIl9mW0DadTys9SFo3
2020-10-23T19:59:52Z,"Android OS 10 API 29 (samsung, SM-A307GT)",1412,BR,187.26.175.43,Colors,Colors,spotify:track:1oACG26rFg4XwAkW5oGGUa,,,,,,,,clickrow,endplay,False,False,False,,False,,,1oACG26rFg4XwAkW5oGGUa
2020-10-23T20:03:59Z,"Android OS 10 API 29 (samsung, SM-A307GT)",245923,BR,187.26.175.43,Colors,BADLANDS,spotify:track:1TnUURhehaoMWKAqQtirm6,,,,,,,,clickrow,endplay,False,False,False,,False,Halsey,Previously Active Listeners,1TnUURhehaoMWKAqQtirm6
2020-10-23T20:07:21Z,"Android OS 10 API 29 (samsung, SM-A307GT)",201504,BR,187.26.175.43,Mad Hatter,Cry Baby,spotify:track:5gWtkdgdyt5bZt9i6n3Kqd,,,,,,,,playbtn,trackdone,True,False,False,,False,Melanie Martinez,Moderate listeners,5gWtkdgdyt5bZt9i6n3Kqd
2020-10-24T00:02:43Z,"Android OS 10 API 29 (samsung, SM-A307GT)",22695,BR,179.113.249.90,Play Date,Cry Baby,spotify:track:4DpNNXFMMxQEKl7r0ykkWA,,,,,,,,trackdone,logout,True,False,False,,False,Melanie Martinez,Moderate listeners,4DpNNXFMMxQEKl7r0ykkWA
2020-11-02T18:16:13Z,"Android OS 10 API 29 (samsung, SM-A307GT)",129413,BR,201.93.96.134,Não Fica Apaixonadinha,Não Fica Apaixonadinha,spotify:track:6UqiwXRyoAwvOsFYuGHLir,,,,,,,,clickrow,unexpected-exit-while-paused,False,False,False,,False,,,6UqiwXRyoAwvOsFYuGHLir
