,ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode,artist_name,segment,track_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,popularity,duration_ms,lat_long,temperature,precipitation
0,2020-10-20 19:36:53+00:00,"Android OS 10 API 29 (samsung, SM-A307GT)",23600,BR,177.58.181.120,Pretty Savage,THE ALBUM,spotify:track:1XnpzbOGptRwfJhZgLbmSr,,,,,,,,clickrow,backbtn,False,False,False,,False,BLACKPINK,Previously Active Listeners,1XnpzbOGptRwfJhZgLbmSr,,,,,,,,,,,,,,"-23.5,-46.3",23.0,0.8
1,2020-10-20 19:36:55+00:00,"Android OS 10 API 29 (samsung, SM-A307GT)",1052,BR,177.58.181.120,How You Like That,THE ALBUM,spotify:track:4SFknyjLcyTLJFPKD2m96o,,,,,,,,backbtn,backbtn,False,False,False,,False,BLACKPINK,Previously Active Listeners,4SFknyjLcyTLJFPKD2m96o,,,,,,,,,,,,,,"-23.5,-46.3",23.0,0.8
2,2020-10-20 19:36:56+00:00,"Android OS 10 API 29 (samsung, SM-A307GT)",0,BR,177.58.181.120,Ice Cream (with Selena Gomez),THE ALBUM,spotify:track:4JUPEh2DVSXFGExu4Uxevz,,,,,,,,backbtn,backbtn,False,False,False,,False,BLACKPINK,Previously Active Listeners,4JUPEh2DVSXFGExu4Uxevz,,,,,,,,,,,,,,"-23.5,-46.3",23.0,0.8
3,2020-10-20 19:36:56+00:00,"Android OS 10 API 29 (samsung, SM-A307GT)",0,BR,177.58.181.120,Bet You Wanna (feat. Cardi B),THE ALBUM,spotify:track:7iAgNZdotu40NwtoIWJHFe,,,,,,,,backbtn,backbtn,False,False,False,,False,BLACKPINK,Previously Active Listeners,7iAgNZdotu40NwtoIWJHFe,,,,,,,,,,,,,,"-23.5,-46.3",23.0,0.8
4,2020-10-20 19:36:59+00:00,"Android OS 10 API 29 (samsung, SM-A307GT)",1824,BR,177.58.181.120,Lovesick Girls,THE ALBUM,spotify:track:4Ws314Ylb27BVsvlZOy30C,,,,,,,,backbtn,fwdbtn,False,False,False,,False,BLACKPINK,Previously Active Listeners,4Ws314Ylb27BVsvlZOy30C,,,,,,,,,,,,,,"-23.5,-46.3",23.0,0.8
5,2020-10-20 19:37:01+00:00,"Android OS 10 API 29 (samsung, SM-A307GT)",564,BR,177.58.181.120,Ice Cream (with Selena Gomez),THE ALBUM,spotify:track:4JUPEh2DVSXFGExu4Uxevz,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False,BLACKPINK,Previously Active Listeners,4JUPEh2DVSXFGExu4Uxevz,,,,,,,,,,,,,,"-23.5,-46.3",23.0,0.8
6,2020-10-20 19:37:02+00:00,"Android OS 10 API 29 (samsung, SM-A307GT)",610,BR,177.58.181.120,Bet You Wanna (feat. Cardi B),THE ALBUM,spotify:track:7iAgNZdotu40NwtoIWJHFe,,,,,,,,fwdbtn,backbtn,False,False,False,,False,BLACKPINK,Previously Active Listeners,7iAgNZdotu40NwtoIWJHFe,,,,,,,,,,,,,,"-23.5,-46.3",23.0,0.8
7,2020-10-20 19:37:03+00:00,"Android OS 10 API 29 (samsung, SM-A307GT)",600,BR,177.58.181.120,Ice Cream (with Selena Gomez),THE ALBUM,spotify:track:4JUPEh2DVSXFGExu4Uxevz,,,,,,,,backbtn,backbtn,False,False,False,,False,BLACKPINK,Previously Active Listeners,4JUPEh2DVSXFGExu4Uxevz,,,,,,,,,,,,,,"-23.5,-46.3",23.0,0.8
8,2020-10-22 01:00:12+00:00,"Android OS 10 API 29 (samsung, SM-A307GT)",4500,BR,179.93.244.141,Lovesick Girls,THE ALBUM,spotify:track:4Ws314Ylb27BVsvlZOy30C,,,,,,,,backbtn,logout,False,False,False,,False,BLACKPINK,Previously Active Listeners,4Ws314Ylb27BVsvlZOy30C,,,,,,,,,,,,,,"-23.2,-45.9",19.5,0.0
9,2020-10-23 19:52:08+00:00,"Android OS 10 API 29 (samsung, SM-A307GT)",1064,BR,187.26.175.43,I'm Gonna Show You Crazy,I'm Gonna Show You Crazy,spotify:track:5LtNBCM2ve0SxP0dlRVvMu,,,,,,,,clickrow,endplay,False,False,False,,False,Bebe Rexha,Previously Active Listeners,5LtNBCM2ve0SxP0dlRVvMu,0.0758,0.474,0.537,0.0,2.0,0.316,-6.77,1.0,0.0649,90.103,0.335,56.0,207775.0,"-23.5,-46.6",22.4,0.1
